id,upload_date,title,duration
TXNIkzYhPL4,20260625,ADBC 101: Fast Database Access for Humans and Agents - PDM Lunch and Learn,01:00:30
6sQhn90C3CA,20260806,Databricks Omnigent w/ Denny Lee - lunch & learn,00:55:40
6DPtNstP-XE,20250912,Building an Effective AI Analyst w/ Paul Blankley (Zenlytic) - Practical Data Lunch & Learn 9/11/25,00:51:00
8Bj4Z0kgySQ,20251120,Dagster - Compass Lunch and Learn w/ Nick Schrock,00:54:50
ACOMAyOEFYU,20260528,Quack w/ Hannes Mühleisen (DuckDB),01:11:00
_1W0kA_XWLQ,20260609,From DataFrame to Knowledge Graph in 4 lines of Python w/ Veronika Heimsbakk,00:56:20
POJzaaMoS-U,20260219,"Agentic Data Lakehouses, Claudio and More w/ Bauplan",01:00:30
VXFx47EkmEY,20260114,Small Language Models w/ Shelby Heinecke (AI Researcher at Salesforce),00:52:40
YcF_ggeg-K4,20250712,Practical Data Paid Community  - Group Discussion. June 2025,00:55:18
NbnEVFAtx9o,20250604,"DuckLake w/ Hannes Mühleisen - Practical Data Lunch and Learn. June 4, 2025",00:58:27
dJXSzcjGx20,20250529,"Aaron Wilkerson - Make Your Resume Stand Out - Practical Data Lunch and Learn May 28, 2025",01:01:04
N_wH8GSByj0,20250503,"Zhamak Dehghani - Autonomous Data Products, Data Mesh, and NextData - Q&A",01:13:55
cqOgt0JZLQY,20250802,"Self-Generating Autonomous AI Algorithms w/ Jepson Taylor.  July 30, 2025",01:09:34
aDfppkj9iVg,20260319,Clair Sullivan - Make Your Tech Career Layoff-Proof as a Solopreneur,00:57:32
It2bUYFUptM,20250828,When Kimball Isn't Enough w/ Jaime Villalpando,00:54:10
FRhaCRiMbAk,20250815,"AI for Data Modeling, August 14, 2025 - Practical Data Modeling, Paid Member Event",00:56:29
X4B2rBFABIU,20251219,How to Make Great Data Models w/ Larry Burns,01:04:25
kcctcQhlxOw,20250729,"Semantic Layer Deep Dive w/ Brian Bickell (Cube) July 25, 2025",00:48:36
OVT6ixYenVM,20250513,"How to Get Your First Speaking Gig, Getting Paid, and More. Public Speaking Advice from Joe Reis",00:42:50
